member_casual,month,avg_trip_length
casual,September,25.760015
casual,October,24.993999
casual,November,21.647075
casual,May,29.368919
casual,March,23.541734
casual,June,30.224364
casual,July,33.210704
casual,January,25.656002
casual,February,25.536534
casual,December,22.042093
casual,August,36.099553
casual,April,31.111031
member,September,13.423845
member,October,12.035799
member,November,11.452108
member,May,13.43763
member,March,10.292664
member,June,13.540924
member,July,14.053962
member,January,10.122577
member,February,10.491811
member,December,11.267459
member,August,14.10672
member,April,12.19454
