member_casual,month,weekday,median_tripDuration
member,January,Saturday,7.133333333
member,January,Tuesday,7.05
member,January,Sunday,7.366666667
member,January,Thursday,6.866666667
member,January,Wednesday,7.216666667
member,January,Friday,6.8
member,January,Monday,6.816666667
member,February,Sunday,8.2
member,February,Monday,7.05
member,February,Friday,6.716666667
member,February,Tuesday,7.016666667
member,February,Wednesday,6.9
member,February,Thursday,6.766666667
member,February,Saturday,7.716666667
member,March,Thursday,7.133333333
member,March,Saturday,7.5
member,March,Friday,6.883333333
member,March,Wednesday,7.35
member,March,Monday,6.966666667
member,March,Sunday,7.466666667
member,March,Tuesday,7.333333333
member,April,Friday,8.116666667
member,April,Thursday,8.283333333
member,April,Monday,7.283333333
member,April,Saturday,8.833333333
member,April,Wednesday,8.033333333
member,April,Sunday,8.05
member,April,Tuesday,7.883333333
member,May,Sunday,10.23333333
member,May,Saturday,9.783333333
member,May,Wednesday,8.733333333
member,May,Tuesday,8.883333333
member,May,Monday,8.533333333
member,May,Friday,8.616666667
member,May,Thursday,8.9
member,June,Friday,9.366666667
member,June,Sunday,10.06666667
member,June,Thursday,9.1
member,June,Saturday,10.96666667
member,June,Tuesday,8.716666667
member,June,Wednesday,9.033333333
member,June,Monday,8.933333333
member,July,Sunday,10.51666667
member,July,Friday,9.216666667
member,July,Saturday,10.25
member,July,Monday,9.291666667
member,July,Tuesday,9.6
member,July,Wednesday,8.933333333
member,July,Thursday,9.333333333
member,August,Saturday,10.46666667
member,August,Friday,9.516666667
member,August,Wednesday,9.3
member,August,Tuesday,9.3
member,August,Thursday,9.116666667
member,August,Monday,8.9
member,August,Sunday,10.36666667
member,September,Saturday,10.06666667
member,September,Monday,8.633333333
member,September,Wednesday,8.816666667
member,September,Friday,9.033333333
member,September,Sunday,9.9
member,September,Thursday,8.766666667
member,September,Tuesday,8.55
member,October,Sunday,8.8
member,October,Wednesday,8.333333333
member,October,Thursday,8.1
member,October,Tuesday,8.4
member,October,Monday,7.883333333
member,October,Saturday,8.45
member,October,Friday,7.9
member,November,Thursday,7.883333333
member,November,Friday,7.583333333
member,November,Wednesday,7.7
member,November,Sunday,8.25
member,November,Saturday,8.383333333
member,November,Monday,7.55
member,November,Tuesday,7.483333333
member,December,Saturday,7.85
member,December,Wednesday,7.6
member,December,Sunday,7.75
member,December,Thursday,7.65
member,December,Monday,7.183333333
member,December,Friday,7.65
member,December,Tuesday,7.266666667
casual,January,Monday,8.15
casual,January,Tuesday,7.75
casual,January,Thursday,7.366666667
casual,January,Wednesday,7.65
casual,January,Friday,7.366666667
casual,January,Saturday,8.583333333
casual,January,Sunday,10.05
casual,February,Tuesday,7.666666667
casual,February,Wednesday,7.25
casual,February,Monday,8.558333333
casual,February,Friday,7.941666667
casual,February,Sunday,12.8
casual,February,Saturday,10.6
casual,February,Thursday,7.316666667
casual,March,Wednesday,8.733333333
casual,March,Thursday,8.216666667
casual,March,Sunday,10.93333333
casual,March,Saturday,10.08333333
casual,March,Tuesday,9.066666667
casual,March,Monday,8.366666667
casual,March,Friday,8.825
casual,April,Thursday,11.21666667
casual,April,Sunday,12.85
casual,April,Monday,9.95
casual,April,Saturday,14.58333333
casual,April,Friday,11.96666667
casual,April,Tuesday,10.63333333
casual,April,Wednesday,10.76666667
casual,May,Tuesday,12.31666667
casual,May,Saturday,15.7
casual,May,Monday,14.16666667
casual,May,Sunday,16.95
casual,May,Wednesday,11.33333333
casual,May,Thursday,11.96666667
casual,May,Friday,12.5
casual,June,Friday,13.51666667
casual,June,Sunday,15.35
casual,June,Monday,12.78333333
casual,June,Tuesday,11.08333333
casual,June,Wednesday,11.71666667
casual,June,Saturday,16.25
casual,June,Thursday,11.91666667
casual,July,Tuesday,13.73333333
casual,July,Wednesday,11.5
casual,July,Sunday,15.96666667
casual,July,Saturday,15.76666667
casual,July,Thursday,12.41666667
casual,July,Friday,13.48333333
casual,July,Monday,13.71666667
casual,August,Thursday,12.08333333
casual,August,Saturday,15.58333333
casual,August,Friday,13.73333333
casual,August,Wednesday,12.38333333
casual,August,Monday,12.28333333
casual,August,Sunday,15.63333333
casual,August,Tuesday,12.35
casual,September,Monday,12.76666667
casual,September,Tuesday,10.51666667
casual,September,Saturday,15.26666667
casual,September,Wednesday,10.65
casual,September,Thursday,10.76666667
casual,September,Friday,12.46666667
casual,September,Sunday,15.46666667
casual,October,Monday,10.33333333
casual,October,Sunday,13.91666667
casual,October,Friday,10.16666667
casual,October,Thursday,9.616666667
casual,October,Saturday,12.41666667
casual,October,Tuesday,10.45
casual,October,Wednesday,10.31666667
casual,November,Thursday,9.25
casual,November,Monday,8.95
casual,November,Sunday,11.86666667
casual,November,Saturday,11.88333333
casual,November,Wednesday,8.3
casual,November,Friday,9.133333333
casual,November,Tuesday,8.191666667
casual,December,Thursday,8.35
casual,December,Sunday,10.06666667
casual,December,Saturday,10.05
casual,December,Wednesday,8.258333333
casual,December,Monday,7.983333333
casual,December,Tuesday,7.85
casual,December,Friday,8.916666667
