member_casual,month,total_trips
casual,September,255766
casual,October,145483
casual,November,81040
casual,May,227375
casual,March,51684
casual,June,293046
casual,July,322565
casual,January,32759
casual,February,35966
casual,December,41859
casual,August,303735
casual,April,122227
member,September,396288
member,October,299058
member,November,221062
member,May,359580
member,March,164113
member,June,407789
member,July,424922
member,January,126255
member,February,124440
member,December,142949
member,August,449587
member,April,229736
